epoch,accuracy,loss,val_accuracy,val_loss
0,0.37420424818992615,1.3222588300704956,0.4870316982269287,1.2507810592651367
1,0.6598394513130188,0.9619327783584595,0.6743515729904175,0.9403433203697205
2,0.7938001751899719,0.5686811804771423,0.6685879230499268,0.8084225058555603
3,0.846388041973114,0.412567675113678,0.6945244669914246,0.7989594340324402
4,0.8823692202568054,0.33248573541641235,0.6916426420211792,0.840910017490387
5,0.9039579033851624,0.2750854790210724,0.6858789920806885,0.8622025847434998
6,0.92360919713974,0.22222381830215454,0.6916426420211792,0.9561218023300171
7,0.9396623373031616,0.1831979900598526,0.6858789920806885,1.0519286394119263
8,0.9518405795097351,0.16159997880458832,0.6743515729904175,1.063429832458496
9,0.9593135714530945,0.1374911069869995,0.6916426420211792,1.1320254802703857
10,0.9640188217163086,0.12254399061203003,0.680115282535553,1.1774954795837402
11,0.9667866230010986,0.1091701090335846,0.6829971075057983,1.26911461353302
12,0.9703847169876099,0.10658248513936996,0.6858789920806885,1.2843246459960938
13,0.9687240719795227,0.09713321924209595,0.6685879230499268,1.3746654987335205
14,0.973429262638092,0.0897897481918335,0.6685879230499268,1.3479464054107666
15,0.9745364189147949,0.08036303520202637,0.6743515729904175,1.4219505786895752
16,0.974259614944458,0.08284425735473633,0.6743515729904175,1.4417502880096436
17,0.974259614944458,0.07915190607309341,0.6714697480201721,1.4626617431640625
18,0.974259614944458,0.07935160398483276,0.680115282535553,1.4803107976913452
19,0.9767506122589111,0.07000093907117844,0.6887608170509338,1.4987759590148926
20,0.977027416229248,0.06635548919439316,0.6772334575653076,1.4897687435150146
21,0.975643515586853,0.06769831478595734,0.6772334575653076,1.5423860549926758
22,0.9767506122589111,0.06404845416545868,0.6743515729904175,1.5502433776855469
23,0.9778577089309692,0.061501797288656235,0.6685879230499268,1.5700647830963135
24,0.9775809645652771,0.06595588475465775,0.6743515729904175,1.5927486419677734
